,PD13604,PD13605,PD13606,PD13607,PD13608,PD13609,PD13618,PD13619,PD13620,PD13622,PD13623,PD13625,PD13626,PD13627,PD13629,PD13630,PD13631,PD13752,PD13753,PD13754,PD13755,PD13756,PD13757,PD13758,PD13760,PD13761,PD13762,PD13763,PD13764,PD13765,PD13766,PD13767,PD13768,PD13770,PD13771,PD14432,PD14433,PD14435,PD14437,PD14439,PD14441,PD14442,PD14450,PD14453,PD14454,PD14456,PD14457,PD14458,PD14459,PD14460,PD14461,PD14462,PD14465,PD14467,PD14468,PD14471
38,356.0,43.0,182.0,106.0,93.0,52.0,61.0,68.0,152.0,149.0,77.0,302.0,44.0,98.0,77.0,94.0,80.0,92.0,73.0,85.0,68.0,62.0,41.0,66.0,70.0,41.0,48.0,100.0,110.0,171.0,63.0,67.0,51.0,82.0,142.0,47.0,100.0,135.0,118.0,48.0,82.0,57.0,36.0,118.0,72.0,84.0,126.0,68.0,81.0,107.0,56.0,88.0,123.0,73.0,63.0,128.0
39,477.0,21.0,102.0,55.0,48.0,44.0,40.0,49.0,60.0,70.0,59.0,144.0,22.0,134.0,50.0,61.0,59.0,70.0,74.0,38.0,43.0,56.0,21.0,55.0,86.0,59.0,35.0,39.0,73.0,75.0,57.0,49.0,29.0,35.0,312.0,46.0,53.0,64.0,72.0,32.0,78.0,44.0,45.0,91.0,51.0,48.0,91.0,28.0,31.0,58.0,32.0,65.0,50.0,25.0,38.0,54.0
40,489.0,19.0,87.0,43.0,47.0,43.0,31.0,39.0,73.0,68.0,51.0,146.0,16.0,73.0,31.0,52.0,28.0,49.0,76.0,33.0,36.0,39.0,19.0,50.0,56.0,40.0,26.0,34.0,54.0,90.0,46.0,53.0,22.0,36.0,164.0,40.0,52.0,52.0,57.0,32.0,73.0,33.0,31.0,68.0,41.0,24.0,84.0,18.0,44.0,52.0,18.0,37.0,48.0,22.0,27.0,37.0
41,241.0,12.0,84.0,48.0,42.0,28.0,21.0,33.0,65.0,59.0,48.0,99.0,17.0,64.0,31.0,59.0,42.0,47.0,45.0,46.0,34.0,31.0,9.0,40.0,35.0,28.0,24.0,36.0,63.0,80.0,29.0,49.0,29.0,28.0,142.0,37.0,47.0,63.0,54.0,21.0,60.0,25.0,23.0,69.0,30.0,20.0,72.0,28.0,35.0,44.0,16.0,30.0,46.0,27.0,33.0,52.0
42,264.0,45.0,219.0,124.0,139.0,63.0,73.0,115.0,222.0,193.0,96.0,301.0,50.0,91.0,87.0,109.0,95.0,101.0,96.0,101.0,78.0,95.0,46.0,59.0,78.0,54.0,75.0,114.0,138.0,205.0,73.0,92.0,75.0,82.0,111.0,66.0,101.0,152.0,140.0,66.0,94.0,61.0,69.0,185.0,81.0,115.0,159.0,72.0,92.0,112.0,65.0,114.0,142.0,91.0,63.0,181.0
43,289.0,15.0,84.0,36.0,38.0,30.0,25.0,39.0,60.0,55.0,32.0,116.0,17.0,91.0,17.0,47.0,37.0,40.0,45.0,33.0,26.0,40.0,23.0,36.0,49.0,39.0,27.0,30.0,51.0,85.0,32.0,30.0,22.0,24.0,165.0,32.0,35.0,48.0,54.0,28.0,58.0,21.0,18.0,70.0,34.0,26.0,52.0,22.0,27.0,43.0,20.0,32.0,46.0,19.0,23.0,31.0
44,23029.0,27.0,168.0,166.0,421.0,714.0,123.0,62.0,124.0,82.0,674.0,366.0,22.0,137.0,176.0,352.0,107.0,77.0,1363.0,51.0,53.0,49.0,164.0,51.0,172.0,50.0,38.0,87.0,190.0,161.0,768.0,162.0,33.0,76.0,505.0,47.0,544.0,141.0,127.0,40.0,111.0,41.0,38.0,1122.0,90.0,27.0,189.0,41.0,80.0,850.0,26.0,211.0,92.0,57.0,41.0,83.0
45,4297.0,24.0,127.0,79.0,120.0,156.0,60.0,49.0,92.0,66.0,173.0,255.0,25.0,114.0,59.0,113.0,81.0,80.0,278.0,47.0,51.0,39.0,60.0,67.0,86.0,55.0,53.0,54.0,97.0,144.0,200.0,84.0,35.0,48.0,327.0,55.0,146.0,91.0,88.0,27.0,98.0,39.0,31.0,323.0,50.0,34.0,180.0,39.0,62.0,204.0,41.0,98.0,67.0,47.0,40.0,71.0
46,2272.0,20.0,174.0,80.0,131.0,125.0,45.0,52.0,105.0,116.0,140.0,191.0,25.0,72.0,66.0,92.0,47.0,62.0,168.0,50.0,34.0,40.0,63.0,39.0,68.0,36.0,42.0,65.0,74.0,115.0,114.0,71.0,34.0,48.0,104.0,40.0,131.0,111.0,89.0,35.0,53.0,36.0,25.0,262.0,56.0,64.0,102.0,49.0,67.0,182.0,29.0,85.0,82.0,49.0,61.0,81.0
47,10364.0,24.0,151.0,115.0,274.0,358.0,69.0,47.0,118.0,83.0,366.0,295.0,24.0,128.0,110.0,252.0,99.0,79.0,722.0,33.0,49.0,33.0,98.0,44.0,114.0,51.0,34.0,66.0,112.0,120.0,421.0,97.0,28.0,52.0,390.0,43.0,347.0,133.0,119.0,44.0,97.0,45.0,34.0,712.0,80.0,42.0,170.0,32.0,47.0,492.0,18.0,104.0,73.0,47.0,40.0,62.0
