"","1","2","3","4","5","6","7","8","9","10","11","12"
"PD11750",0.0362526329647183,0.121363217482886,0.0191712743549236,0.0877929173249078,0.029242364402317,0.0302297261716693,0.0812763296471827,0.0118647972617167,0.0264777514481306,0.269368746708794,0.0353640073723012,0.251596234860453
"PD11751",0.0495368706831157,0.139727312652214,0.0249830319000279,0.0617539026629936,0.0503154070347746,0.0642092865413024,0.0615143530163293,0.0557052740847207,0.040014772228211,0.261837745039326,0.0734319479378768,0.116970096219108
"PD11752",0.0939587128111718,0.0756136698759649,0.167338884551999,0.0784760170006072,0.0307268626940758,0.166818457802064,0.057789053690693,0.0809480440627982,0.0325483563188481,0.112824182496314,0.0776953768757047,0.0252623818197589
"PD11753",0.0802209998069871,0.0796419610113878,0.0781943640223895,0.0671926269060027,0.0476500675545262,0.0767467670333912,0.0961445666859679,0.0808000386025864,0.11974039760664,0.140151515151515,0.112647172360548,0.0208695232580583
"PD11755",0.0563222458126917,0.121431941495636,0.0570299598962019,0.0885232366124086,0.0290752535975466,0.0616301014390186,0.0725996697334277,0.0768459542344893,0.0357985373908941,0.256959188487851,0.0786152394432649,0.0651686718565699
"PD11756",0.0643419366648362,0.0550064067362255,0.192293611568735,0.0429251327109647,0.128592348526451,0.0511623650009152,0.0874061870766978,0.178564891085484,0.0341387516016841,0.0588504484715358,0.0791689547867472,0.0275489657697236
"PD11757",0.0605228105228105,0.12995337995338,0.0245587745587746,0.0285547785547786,0.0515318015318015,0.058025308025308,0.074009324009324,0.0954878454878455,0.0290542790542791,0.204878454878455,0.043040293040293,0.20038295038295
"PD11760",0.0886661836915399,0.0799726314094824,0.201682363358287,0.0756258552684537,0.0524430491829671,0.261088303952346,0.0577557755775578,0.0869757707478065,0.021049665942204,0.0164614022377848,0.0466473476615954,0.011631650969975
"PD11761",0.0472131543948737,0.10597267561359,0.0653488090920082,0.116128642243985,0.091464151855882,0.0896505863861685,0.16799661467779,0.0490267198645871,0.0385080401402491,0.082033611413372,0.115765929150042,0.0308910651674525
"PD11762",0.102111360239163,0.0656763826606876,0.122851270553064,0.100429745889387,0.0965059790732436,0.115564275037369,0.0600710014947683,0.0981875934230194,0.0449364723467863,0.0527840059790732,0.110519431988042,0.0303624813153961
"PD11765",0.0473521767381417,0.0780539311241066,0.0853638726445744,0.113141650422352,0.0512508122157245,0.0575860948667966,0.146767381416504,0.110705003248863,0.0366309291747888,0.103882391163093,0.132634827810266,0.0366309291747888
"PD11766",0.059694364851958,0.0700095510983763,0.0923591212989494,0.105539637058262,0.0837631327602674,0.0700095510983763,0.131900668576886,0.084909264565425,0.0270296084049666,0.084909264565425,0.122731614135626,0.0671442215854823
"PD11767",0.0752629669931085,0.098113891911498,0.127493652520856,0.0992020311933261,0.0328255350018136,0.0861443598113892,0.190605730866884,0.106819006166123,0.0186797243380486,0.0654697134566558,0.083968081247733,0.0154153064925644
"PD11769",0.05709179834462,0.0728931527464259,0.209462001504891,0.0695071482317532,0.0632994732881866,0.0943378480060196,0.0909518434913469,0.0920805116629044,0.0294394281414597,0.0632994732881866,0.131583897667419,0.0260534236267871
"PD11816",0.0667733727324961,0.040178937864237,0.0771156529590413,0.0404251826315357,0.136953131412624,0.0822867930723139,0.100262661085119,0.126118361651482,0.0175244192727571,0.0564310925059509,0.0896741360912747,0.166256258721169
"PD11818",0.0943605236656596,0.0605236656596173,0.131218529707956,0.0720040281973817,0.0442094662638469,0.0913393756294058,0.0550855991943605,0.143907351460222,0.0405840886203424,0.0889224572004028,0.138469284994965,0.0393756294058409
"PD11819",0.114151305683564,0.062884024577573,0.130280337941628,0.0841973886328725,0.02428955453149,0.0363863287250384,0.141225038402458,0.156778033794163,0.0404185867895545,0.0991743471582181,0.0847734254992319,0.0254416282642089
"PD13162",0.0370675956484537,0.0365175406429532,0.0719044126634886,0.0502689157804669,0.137177606649554,0.0247830338589414,0.0592531475369759,0.052285784133969,0.0154320987654321,0.124709693191541,0.0572362791834739,0.33336389194475
"PD13163",0.0690665679560738,0.074063791720649,0.0810969214633845,0.0762847800604602,0.134400641618854,0.054259979023999,0.135140971065457,0.0525942377691406,0.0250169658831513,0.093867604417299,0.0651798383614042,0.139027700660127
"PD13164",0.0523689273689274,0.0844757094757095,0.118025493025493,0.0664381914381914,0.0599446849446849,0.128126503126503,0.115860990860991,0.0891654641654642,0.0361351611351611,0.0819504569504569,0.115500240500241,0.052008177008177
"PD13165",0.0488447295676211,0.0859281280968028,0.0784175663693736,0.0314765555729411,0.194987743180514,0.216111198038909,0.0418035779481563,0.0687164241381109,0.019741302873833,0.0469670891357638,0.0673081938142179,0.0996974912637563
